unprecedented	전례 없는
invoke	(법/원칙 등을) 들먹이다, 호소하다
evoke	불러일으키다
elicit	이끌어내다, 도출하다
entail	수반하다, 필요로 하다
engender	발생시키다, 낳다
precipitate	촉발하다; 성급한
mitigate	완화하다
exacerbate	악화시키다
ameliorate	개선하다
attenuate	약화시키다
corroborate	확증하다
substantiate	입증하다
invalidate	무효화하다
supersede	대신하다, 대체하다
differentiate	구별하다, 차별화하다
disentangle	엉킨 것을 풀다, 분리하다
synthesize	종합하다
triangulate	삼각 검증하다(여러 근거로 교차 확인)
approximate	근사값을 내다; 대략의
conflate	합치다, 혼합하다
extrapolate	외삽하다, 추정하다
interpolate	내삽하다, 끼워 넣다
infer	추론하다
ascertain	확인하다, 규명하다
reconcile	조정/화해시키다
replicate	복제/재현하다
benchmark	기준을 삼다; 기준 지표
ablate	(과학) 제거 실험을 하다; 절제하다
abrogate	폐지하다, 무효로 하다
offset	상쇄하다
supplant	대체하다
redress	시정하다, 보상하다
deem	간주하다
broach	(어려운 주제를) 꺼내다
predicate (on)	~에 근거를 두다
postulate	가정하다
posit	단정적으로 제시하다
qualify	제한/수정해서 말하다; 자격을 주다
contest	이의를 제기하다
illuminate	밝히다, 설명하다

# Academic Adjectives & Nouns
salient	두드러진, 핵심적인
pertinent	적절한, 관련 있는
tenable	지지 가능한, 방어 가능한
untenable	지지 불가의
tractable	다루기 쉬운
intractable	다루기 어려운
equivocal	모호한, 애매한
univocal	일의적인, 명확한
parsimonious	검소한; (모델이) 간결한
spurious	가짜의, 허위의; (상관이) 허위의
orthogonal	독립적인, 직교의
commensurate (with)	상응하는, 비례한
concomitant	수반되는
contingent (on)	~에 달린; 우발적인
counterintuitive	직관에 반하는
robust	견고한, 강건한
idiosyncratic	특이한, 개성적인
canonical	정전(正典)의; 표준적인
putative	추정상의, 소위 ~라 불리는
purported	소문상의, 알려진 바의
heuristic	발견적 방법(의)
axiom	공리
lemma	보조정리
corollary	따름정리, 필연적 결과
provenance	기원, 출처
taxonomy	분류학, 분류 체계
ontology	존재론; 개체/개념 체계
epistemology	인식론
teleology	목적론
dichotomy	이분법
continuum	연속체
manifold	다양체; 매우 다양한
invariant	불변의; 불변량
stochastic	확률적인
deterministic	결정론적인
asymptotic	점근적인
marginal	한계의; 주변의
posterior	사후(확률)
prior	사전(확률); 우선하는
likelihood	가능도, 우도
variance	분산
deviation	편차
bias	편향
variance trade-off	편향–분산 절충
endogeneity	내생성
heterogeneity	이질성
confounder	혼동 변수
significance	통계적 유의성
p-value	p값
power (statistical)	검정력
effect size	효과 크기
ablation study	제거 실험
sensitivity analysis	민감도 분석
baseline	기준선, 기본 모델

# High-utility Connectors & Phrases
albeit	비록 ~일지라도
notwithstanding	그럼에도 불구하고
whereas	~인 반면에
thereby	그리하여, 그로 인해
hereby	이에 의해(공식 표현)
hence	그러므로, 그래서
thus	따라서, 그렇게
ergo	그러므로(격식)
whereby	그에 따라 ~하는
insofar as	~하는 한에서
inasmuch as	~이므로, ~하는 만큼
to the extent that	~한 범위에서
a case in point	적절한 예
by the same token	같은 이유로
for all intents and purposes	사실상
call into question	의문을 제기하다
bring to bear	(지식·영향을) 적용하다
bear out	입증하다
boil down to	요약/결국 ~이 되다
hinge on	~에 달려 있다
stem from	~에서 비롯되다
amount to	~에 해당하다
set forth	제시하다, 설명하다
come to terms with	받아들이고 화해하다

# General Literary Tone (Fiction-friendly)
ominous	불길한
eerie	섬뜩한
uncanny	불가사의한, 기이한
sinister	사악한, 불길한
malevolent	악의적인
benevolent	자비로운
vindictive	앙심 깊은
brazen	뻔뻔스러운
defiant	반항적인
forthright	직설적인
reticent	말수가 적은, 과묵한
taciturn	과묵한
loquacious	수다스러운
pensive	수심 어린, 사색적인
wistful	아쉬워하는, 애틋한
brooding	음울한, 생각에 잠긴
nonchalant	차분한, 태연한
resolute	단호한
austere	소박한; 엄격한
opulent	호화로운
lavish	아낌없는, 호화로운
squalid	지저분하고 불결한
decrepit	노후한, 쇠약한
dilapidated	황폐한, 허물어진
precarious	위태로운
tenuous	미약한, 빈약한
conspicuous	눈에 띄는
surreptitious	은밀한
furtive	몰래 하는
elusive	파악하기 어려운
evanescent	덧없는, 순식간에 사라지는
meticulous	꼼꼼한
scrupulous	세심한; 양심적인
cursory	대충 하는, 서두르는

# Mystery/Crime Vocabulary
alibi	알리바이, 현장부재증명
motive	동기
modus operandi	범행 수법
perpetrator	가해자, 범인
accomplice	공범
culprit	범인, 원인
forensics	법의학, 과학수사
autopsy	부검
ballistics	탄도학, 총기감정
surveillance	감시
stakeout	잠복근무
subpoena	소환장
affidavit	선서 진술서
deposition	증언 녹취(선서)
indictment	기소
acquittal	무죄 판결
conviction	유죄 판결; 확신
circumstantial (evidence)	정황(증거)의
incriminate	죄를 씌우다
exculpate	무죄를 입증하다
exonerate	혐의를 벗겨주다
corroborate	확증하다
testimony	증언
allegation	혐의, 주장
plea	탄원; 피고의 답변(유죄/무죄)
red herring	주의를 돌리는 단서
misdirection	시선을 돌리기(마술/추리)

# Archaic & Tolkien-esque (LOTR-friendly)
ere (~before)	~하기 전에(옛용법)
oft	자주(옛용법)
nay	아니오(옛/문어)
henceforth	이후로는
hitherto	여태까지
yonder	저기(문어)
behold	보라!, 바라보다(문어)
hearken	경청하다(옛용법)
succor (succour)	구원, 원조(문어)
fealty	충성 서약
fey	요정 같은; 예감에 사로잡힌(옛의미)
fell (adj.)	사나운, 잔혹한(문어)
doom	운명; 파멸
bane	파멸의 원인, 재앙
woe	비통, 비애
tidings	소식(문어)
errand	심부름, 임무
muster	소집하다(군대 등)
host (army)	대군, 군세
mail (armor)	사슬갑옷
helm	투구
gird	띠를 매다; 대비하다
smite	세게 치다, 응징하다(고어 활용: smote, smitten)
sunder	가르다, 분리하다(문어)
wrought	만들어진, 형성된(옛 과거분사)
rent (past of rend)	찢어진, 갈라진
hew/hewn	자르다, 패다(도끼 등으로)
barrow-wight	고분의 요괴(톨킨)
barrow	고분
mere	호수(옛용법)
fen	늪지
moor	황야, 습원
dale	골짜기
ford	여울(얕은 도하 지점)
mire	늪, 진창
standard (banner)	깃발, 군기
spearhead (v./n.)	선봉에 서다; 선봉
waybread	(톨킨) 여행빵, 레임바스(문화어휘)

# High-frequency Academic Collocations
at odds with	~와 상충하는, 불일치하는
at stake	위태로운 상황에
at scale	대규모로
by virtue of	~덕분에, ~에 의하여
in light of	~을 고려할 때
in the wake of	~의 여파로
as opposed to	~와는 달리
insofar as	~하는 한
with respect to	~에 관하여
a priori	경험 이전의, 선험적
a posteriori	경험 이후의, 경험적
ex ante	사전의
ex post	사후의
ceteris paribus	기타 조건이 동일하다면
status quo	현상 유지, 기존 상태
raison d’être	존재 이유
sine qua non	필수 조건
vis-à-vis	~에 대하여, ~와 비교하여
per se	그 자체로
inter alia	그 중에서, 특히

# Science/Methods (useful for papers)
apparatus	장치, 기구
apparition	유령(문학); 돌연한 출현(비유)
artifact (data)	인공 산물, 측정 왜곡
baseline	기준선
bootstrapping	부트스트래핑(추정/재표집)
confounds	혼입 요인들
control group	대조군
treatment group	처치군
counterfactual	반사실적
ground truth	실제 정답, 실측값
null hypothesis	귀무가설
alternative hypothesis	대립가설
multiple comparisons	다중 비교
overfitting	과적합
underfitting	과소적합
regularization	정규화(규제)
ablation	제거 실험
cross-validation	교차 검증
generalization	일반화
reproducibility	재현 가능성
robustness	강건성
throughput	처리량
latency	지연시간

# Fiction Action & Description
lurch	휘청거리다
plummet	급락/추락하다
saunter	느긋이 걷다
trudge	터벅터벅 걷다
skitter	(작게) 달아나다, 달칵거리다
glint	번쩍임; 번득이다
gleam	어슴푸레 빛나다
sear	그슬리다, 화끈하게 굽다
sear with guilt	죄책감으로 타들어가다(비유)
shudder	떨다, 몸서리치다
recoil	움찔하다, 뒷걸음질치다
abate (fear/storm)	약화되다, 누그러지다
ebb	(감정/힘이) 서서히 줄다
surge	급증/용솟음치다
brim (with)	(감정으로) 가득 차다
rife (with)	만연한
fraught (with)	(문제/위험이) 가득한
laden (with)	~로 가득한

# Legal/Policy for papers & essays
jurisdiction	사법권, 관할권
precedent	선례, 판례
statute	법규, 법령
ordinance	조례
discretion	재량
liability	법적 책임
tort	불법 행위(민사)
sanction	제재; 인가
injunction	금지 명령
locus	장소, 위치; 발생 지점
provision	조항
compliance	준수
redress	구제, 시정
recourse	의지, 구제수단
remedy	구제책

# Everyday but Bookish
allege	(증거 없이) 주장하다
defer	미루다; 경의를 표해 따르다(to)
demur	이의를 제기하다
eschew	피하다, 삼가다
falter	비틀거리다; 주저하다
fray	닳아 해지다; (신경) 날카로워지다
irk	짜증나게 하다
mull (over)	곰곰이 생각하다
pry (into)	꼬치꼬치 캐다
reek (of)	악취가 나다; (특징이) 풍기다
veer	방향을 틀다
wane	쇠퇴하다, 기울다
wax and wane	성장하고 쇠퇴하다(차고 기우다)
wean (off)	(~에서) 떼어놓다, 끊게 하다
withstand	견뎌 내다
buckle (under)	압박에 굴복하다
weather (a storm)	(폭풍/어려움)을 견디다
